Start Time	End Time	Active Appliances
2013-02-18 10:00:00	2013-02-18 10:30:00	{'2-125.0', '3-152.0'}
2013-02-18 10:30:00	2013-02-18 11:00:00	{'3-18185.0', '2-5342.0', '4-2229.0'}
2013-02-18 11:00:00	2013-02-18 11:30:00	{'4-3182.0', '3-19120.0', '2-5106.0'}
2013-02-18 11:30:00	2013-02-18 12:00:00	{'3-17782.0', '4-2988.0', '2-4457.0'}
2013-02-18 12:00:00	2013-02-18 12:30:00	{'2-4696.0', '3-19105.0', '4-3199.0'}
2013-02-18 12:30:00	2013-02-18 13:00:00	{'2-5479.0', '3-17523.0', '4-3020.0'}
2013-02-18 13:00:00	2013-02-18 13:30:00	{'2-6436.0', '4-3153.0', '3-18959.0'}
2013-02-18 13:30:00	2013-02-18 14:00:00	{'3-17662.0', '2-5014.0', '4-2982.0'}
2013-02-18 14:00:00	2013-02-18 14:30:00	{'3-18938.0', '2-4982.0', '4-3213.0'}
2013-02-18 14:30:00	2013-02-18 15:00:00	{'2-5280.0', '3-17700.0', '4-2979.0'}
2013-02-18 15:00:00	2013-02-18 15:30:00	{'2-5178.5', '4-3222.0', '3-18906.0'}
2013-02-18 15:30:00	2013-02-18 16:00:00	{'2-4981.0', '3-17691.0', '4-3051.5'}
2013-02-18 16:00:00	2013-02-18 16:30:00	{'3-18772.0', '4-3247.0', '2-7061.0'}
2013-02-18 16:30:00	2013-02-18 17:00:00	{'4-2977.0', '3-17621.0', '2-5726.0'}
2013-02-18 17:00:00	2013-02-18 17:30:00	{'3-18782.0', '4-3172.0', '2-10596.5'}
2013-02-18 17:30:00	2013-02-18 18:00:00	{'3-17612.0', '4-2975.0', '2-10505.0'}
2013-02-18 18:00:00	2013-02-18 18:30:00	{'2-5983.0', '4-3196.0'}
2013-02-18 18:30:00	2013-02-18 19:00:00	{'2-4767.0', '4-2996.0', '3-15443.0'}
2013-02-18 19:00:00	2013-02-18 19:30:00	{'3-18920.0', '2-5155.0', '4-3114.0'}
2013-02-18 19:30:00	2013-02-18 20:00:00	{'3-17709.0', '2-10802.0', '4-2930.0'}
2013-02-18 20:00:00	2013-02-18 20:30:00	{'2-8160.0', '3-18770.0', '4-3222.0'}
2013-02-18 20:30:00	2013-02-18 21:00:00	{'4-2964.0', '3-17650.0', '2-4621.0'}
2013-02-18 21:00:00	2013-02-18 21:30:00	{'2-5187.0', '3-18825.0', '4-3192.0'}
2013-02-18 21:30:00	2013-02-18 22:00:00	{'4-3033.0', '3-17585.0', '2-8826.0'}
2013-02-18 22:00:00	2013-02-18 22:30:00	{'2-10748.0', '3-13503.0', '4-3305.0'}
2013-02-18 22:30:00	2013-02-18 23:00:00	{'4-3084.0', '2-14832.0', '3-17364.0'}
2013-02-18 23:00:00	2013-02-18 23:30:00	{'2-15254.0', '4-3294.0', '3-18478.0'}
2013-02-18 23:30:00	2013-02-18 00:00:00	{'2-16052.0', '4-3081.0', '3-17662.0'}
2013-02-19 00:00:00	2013-02-19 00:30:00	{'3-18653.0', '2-17599.0', '4-3257.0'}
2013-02-19 00:30:00	2013-02-19 01:00:00	{'2-16456.0', '4-3098.0', '3-17473.0'}
2013-02-19 01:00:00	2013-02-19 01:30:00	{'2-16554.0', '3-18672.0', '4-3292.0'}
2013-02-19 10:00:00	2013-02-19 10:30:00	{'3-12816.0', '4-1381.0', '2-8211.0'}
2013-02-19 10:30:00	2013-02-19 11:00:00	{'3-17904.0', '2-6910.0', '4-3082.0'}
2013-02-19 11:00:00	2013-02-19 11:30:00	{'3-18923.0', '4-3261.0', '2-7336.0'}
2013-02-19 11:30:00	2013-02-19 12:00:00	{'4-3104.0', '3-17679.0', '2-4515.5'}
2013-02-19 12:00:00	2013-02-19 12:30:00	{'4-3320.0', '3-18916.0', '2-4532.0'}
2013-02-19 12:30:00	2013-02-19 13:00:00	{'3-17606.0', '2-6586.0', '4-3141.0'}
2013-02-19 13:00:00	2013-02-19 13:30:00	{'3-18942.0', '4-3293.0', '2-4402.0'}
2013-02-19 13:30:00	2013-02-19 14:00:00	{'3-17785.0', '2-6684.5', '4-3004.0'}
2013-02-19 14:00:00	2013-02-19 14:30:00	{'3-18932.0', '4-3228.0', '2-7416.0'}
2013-02-19 14:30:00	2013-02-19 15:00:00	{'2-9555.0', '3-17715.0', '4-3076.0'}
2013-02-19 15:00:00	2013-02-19 15:30:00	{'4-3296.0', '2-9886.5', '3-18941.0'}
2013-02-19 15:30:00	2013-02-19 16:00:00	{'4-3071.0', '3-17666.0', '2-10336.0'}
2013-02-19 16:00:00	2013-02-19 16:30:00	{'3-18869.0', '4-3281.0', '2-6334.0'}
2013-02-19 16:30:00	2013-02-19 17:00:00	{'3-17689.0', '2-4082.0'}
2013-02-19 17:00:00	2013-02-19 17:30:00	{'2-11385.0', '3-18779.0'}
2013-02-19 17:30:00	2013-02-19 18:00:00	{'3-17584.0', '2-7335.0'}
2013-02-19 18:00:00	2013-02-19 18:30:00	{'2-4450.0', '3-18862.0'}
2013-02-19 18:30:00	2013-02-19 19:00:00	{'2-4013.0', '3-17712.0'}
2013-02-19 19:00:00	2013-02-19 19:30:00	{'3-5356.0', '2-5960.0'}
2013-02-19 19:30:00	2013-02-19 20:00:00	{'3-17649.0', '2-9932.0'}
2013-02-19 20:00:00	2013-02-19 20:30:00	{'4-427.0', '2-13349.0', '3-18855.0'}
2013-02-19 20:30:00	2013-02-19 21:00:00	{'3-17680.0', '4-2907.0', '2-8580.0'}
2013-02-19 21:00:00	2013-02-19 21:30:00	{'4-3241.0', '3-18782.0', '2-13343.0'}
2013-02-19 21:30:00	2013-02-19 22:00:00	{'4-3020.0', '3-17515.0', '2-11039.0'}
2013-02-19 22:00:00	2013-02-19 22:30:00	{'2-13182.0', '3-18739.0', '4-3240.0'}
2013-02-19 22:30:00	2013-02-19 23:00:00	{'2-8924.0', '4-3082.0'}
2013-02-19 23:00:00	2013-02-19 23:30:00	{'4-3252.0', '2-6193.0', '3-13155.0'}
2013-02-19 23:30:00	2013-02-19 00:00:00	{'3-7686.0', '2-8249.0', '4-3073.0'}
2013-02-20 00:00:00	2013-02-20 00:30:00	{'3-18694.0', '4-3273.0', '2-17257.0'}
2013-02-20 10:00:00	2013-02-20 10:30:00	{'2-11106.0', '4-1581.0', '3-12391.0'}
2013-02-20 10:30:00	2013-02-20 11:00:00	{'4-2968.0', '3-17960.0', '2-16802.0'}
2013-02-20 11:00:00	2013-02-20 11:30:00	{'3-18902.0', '4-3283.0', '2-17792.0'}
2013-02-20 11:30:00	2013-02-20 12:00:00	{'3-17563.0', '4-3014.0', '2-11707.0'}
2013-02-20 12:00:00	2013-02-20 12:30:00	{'3-18749.0', '2-10536.0', '4-3218.0'}
2013-02-20 22:00:00	2013-02-20 22:30:00	{'3-15870.0', '2-14888.0'}
2013-02-20 22:30:00	2013-02-20 23:00:00	{'2-16831.0', '3-17679.0'}
2013-02-20 23:00:00	2013-02-20 23:30:00	{'2-18451.0', '3-18798.0'}
2013-02-20 23:30:00	2013-02-20 00:00:00	{'2-17003.0', '3-17393.0'}
2013-02-21 00:00:00	2013-02-21 00:30:00	{'3-18694.0', '2-18203.0'}
2013-02-21 00:30:00	2013-02-21 01:00:00	{'3-17476.0', '2-16917.0'}
2013-02-21 01:00:00	2013-02-21 01:30:00	{'2-18063.0', '3-18687.0'}
2013-02-21 10:30:00	2013-02-21 11:00:00	{'2-15103.0', '3-16322.0'}
2013-02-21 11:00:00	2013-02-21 11:30:00	{'3-19113.0', '2-17963.0'}
2013-02-21 11:30:00	2013-02-21 12:00:00	{'2-12900.0', '3-17854.0'}
2013-02-21 12:00:00	2013-02-21 12:30:00	{'2-12974.0', '3-18944.0', '4-2486.0'}
2013-02-21 12:30:00	2013-02-21 13:00:00	{'4-3069.0', '3-17576.0', '2-6025.0'}
2013-02-21 13:00:00	2013-02-21 13:30:00	{'2-4701.0', '4-3358.0'}
2013-02-21 13:30:00	2013-02-21 14:00:00	{'2-3704.0', '4-3063.0', '3-11422.0'}
2013-02-21 14:00:00	2013-02-21 14:30:00	{'3-18899.5', '2-5576.0', '4-3165.5'}
2013-02-21 14:30:00	2013-02-21 15:00:00	{'3-17722.0', '2-5245.0', '4-3056.0'}
2013-02-21 15:00:00	2013-02-21 15:30:00	{'3-18921.0', '2-7203.0', '4-3274.0'}
2013-02-21 15:30:00	2013-02-21 16:00:00	{'3-17799.0', '2-5027.0', '4-3008.0'}
2013-02-21 16:00:00	2013-02-21 16:30:00	{'2-5686.0', '4-3323.0', '3-18951.0'}
2013-02-21 16:30:00	2013-02-21 17:00:00	{'4-2944.0', '2-4433.0', '3-17682.0'}
2013-02-21 17:00:00	2013-02-21 17:30:00	{'3-19034.0', '2-4302.0', '4-3108.0'}
2013-02-21 17:30:00	2013-02-21 18:00:00	{'4-2913.0', '2-8527.0', '3-17638.0'}
2013-02-21 18:00:00	2013-02-21 18:30:00	{'3-18894.0', '4-3159.0', '2-12662.0'}
2013-02-21 18:30:00	2013-02-21 19:00:00	{'3-4888.0', '4-2956.0', '2-5306.0'}
2013-02-21 19:00:00	2013-02-21 19:30:00	{'2-14346.0', '4-3217.0', '3-18926.0'}
2013-02-21 19:30:00	2013-02-21 20:00:00	{'3-17568.0', '2-7735.5', '4-2952.0'}
2013-02-21 20:00:00	2013-02-21 20:30:00	{'2-7477.0', '4-3178.0', '3-18818.0'}
2013-02-21 20:30:00	2013-02-21 21:00:00	{'2-4837.0', '4-3053.0', '3-1862.0'}
2013-02-21 21:00:00	2013-02-21 21:30:00	{'4-3266.0', '3-18999.0', '2-5162.0'}
2013-02-21 21:30:00	2013-02-21 22:00:00	{'4-3055.0', '2-8033.0', '3-17597.0'}
2013-02-21 22:00:00	2013-02-21 22:30:00	{'3-18814.0', '4-3285.0', '2-8740.0'}
2013-02-21 22:30:00	2013-02-21 23:00:00	{'3-12446.0', '2-8387.0', '4-3082.0'}
2013-02-21 23:00:00	2013-02-21 23:30:00	{'2-13112.0', '4-3267.0', '3-18666.0'}
2013-02-21 23:30:00	2013-02-21 00:00:00	{'3-17240.0', '4-3058.0', '2-14296.0'}
2013-02-22 00:00:00	2013-02-22 00:30:00	{'2-16899.0', '3-18680.0', '4-3285.0'}
2013-02-22 00:30:00	2013-02-22 01:00:00	{'3-17468.0', '4-3081.0', '2-15954.0'}
2013-02-22 01:00:00	2013-02-22 01:30:00	{'4-3322.0', '2-16895.0', '3-18612.0'}
2013-02-22 10:00:00	2013-02-22 10:30:00	{'4-3223.0', '3-17325.0', '2-6335.0'}
2013-02-22 10:30:00	2013-02-22 11:00:00	{'3-17890.0', '2-4833.0', '4-3055.0'}
2013-02-22 11:00:00	2013-02-22 11:30:00	{'3-19082.0', '2-4563.0', '4-3189.0'}
2013-02-22 11:30:00	2013-02-22 12:00:00	{'2-3609.0', '4-2940.0', '3-2108.0'}
2013-02-22 12:00:00	2013-02-22 12:30:00	{'4-3236.0', '2-8450.0', '3-18994.0'}
2013-02-22 12:30:00	2013-02-22 13:00:00	{'2-4463.0', '3-17809.0', '4-3011.0'}
2013-02-22 13:00:00	2013-02-22 13:30:00	{'2-5424.5', '3-18983.0', '4-3307.0'}
2013-02-22 13:30:00	2013-02-22 14:00:00	{'2-5736.5', '3-17844.0', '4-3116.0'}
2013-02-22 14:00:00	2013-02-22 14:30:00	{'2-5414.5', '3-18889.0', '4-3375.0'}
2013-02-22 14:30:00	2013-02-22 15:00:00	{'2-5284.0', '3-17711.0', '4-3135.0'}
2013-02-22 15:00:00	2013-02-22 15:30:00	{'2-5370.5', '3-18964.0', '4-3322.0'}
2013-02-22 15:30:00	2013-02-22 16:00:00	{'3-17740.0', '4-3156.0', '2-6969.0'}
2013-02-22 16:00:00	2013-02-22 16:30:00	{'3-18920.0', '2-4733.0', '4-3325.0'}
2013-02-22 16:30:00	2013-02-22 17:00:00	{'2-4228.0', '3-17685.0', '4-3008.0'}
2013-02-22 17:00:00	2013-02-22 17:30:00	{'2-4305.5', '4-3178.0', '3-18925.0'}
2013-02-22 17:30:00	2013-02-22 18:00:00	{'2-3919.0', '3-17671.0', '4-2957.0'}
2013-02-22 18:00:00	2013-02-22 18:30:00	{'2-4246.0', '4-3184.0', '3-3501.0'}
