Start Time	End Time	Active Appliances
2012-11-10 05:30:00	2012-11-10 06:00:00	{'2-4766.0'}
2012-11-10 09:30:00	2012-11-10 10:00:00	{'2-283.0'}
2012-11-10 15:30:00	2012-11-10 16:00:00	{'2-6561.0'}
2012-11-11 05:30:00	2012-11-11 06:00:00	{'2-5739.0'}
2012-11-11 15:30:00	2012-11-11 16:00:00	{'2-5670.0'}
2012-11-11 18:00:00	2012-11-11 18:30:00	{'7-35582.0', '2-1795.0'}
2012-11-11 18:30:00	2012-11-11 19:00:00	{'2-1116.0'}
2012-11-12 05:30:00	2012-11-12 06:00:00	{'2-5831.0'}
2012-11-12 07:30:00	2012-11-12 08:00:00	{'2-2746.0'}
2012-11-12 10:00:00	2012-11-12 10:30:00	{'2-964.0', '6-37539.0'}
2012-11-12 15:30:00	2012-11-12 16:00:00	{'2-5932.0'}
2012-11-12 18:00:00	2012-11-12 18:30:00	{'2-123.0', '8-13549.0'}
2012-11-12 20:00:00	2012-11-12 20:30:00	{'2-19319.0'}
2012-11-13 04:00:00	2012-11-13 04:30:00	{'2-2626.0'}
2012-11-13 05:30:00	2012-11-13 06:00:00	{'2-5798.0'}
2012-11-13 15:30:00	2012-11-13 16:00:00	{'2-5749.0', '8-18748.0'}
2012-11-13 18:00:00	2012-11-13 18:30:00	{'8-32796.0', '2-961.0'}
2012-11-13 18:30:00	2012-11-13 19:00:00	{'2-116.0'}
2012-11-14 05:30:00	2012-11-14 06:00:00	{'2-5987.0'}
2012-11-14 06:30:00	2012-11-14 07:00:00	{'2-6531.0', '8-13290.0'}
2012-11-14 15:30:00	2012-11-14 16:00:00	{'2-287.0'}
2012-11-15 06:30:00	2012-11-15 07:00:00	{'2-1903.0'}
2012-11-15 07:00:00	2012-11-15 07:30:00	{'2-1310.0'}
2012-11-15 10:30:00	2012-11-15 11:00:00	{'2-106.0'}
2012-11-15 15:30:00	2012-11-15 16:00:00	{'2-5515.0'}
2012-11-15 19:00:00	2012-11-15 19:30:00	{'8-33956.0', '2-1073.0'}
2012-11-16 05:30:00	2012-11-16 06:00:00	{'2-5573.0'}
2012-11-16 11:00:00	2012-11-16 11:30:00	{'8-6325.0', '2-194.0'}
2012-11-16 16:00:00	2012-11-16 16:30:00	{'2-2296.0'}
2012-11-17 05:30:00	2012-11-17 06:00:00	{'2-5523.0'}
