Start Time	End Time	Active Appliances
2013-03-23 02:30:00	2013-03-23 03:00:00	{'2-1883.0'}
2013-03-23 03:00:00	2013-03-23 03:30:00	{'2-4018.0', '5-10168.0'}
2013-03-23 03:30:00	2013-03-23 04:00:00	{'2-3749.0'}
2013-03-23 04:00:00	2013-03-23 04:30:00	{'2-4009.0', '5-301.0'}
2013-03-23 04:30:00	2013-03-23 05:00:00	{'2-3742.0'}
2013-03-23 05:00:00	2013-03-23 05:30:00	{'2-3998.0'}
2013-03-23 05:30:00	2013-03-23 06:00:00	{'2-3743.0', '4-27322.0'}
2013-03-23 06:00:00	2013-03-23 06:30:00	{'4-32765.0', '2-3993.0'}
2013-03-23 06:30:00	2013-03-23 07:00:00	{'2-3739.0', '5-6309.0', '4-31036.0'}
2013-03-23 07:00:00	2013-03-23 07:30:00	{'2-3981.0', '4-32972.0'}
2013-03-23 07:30:00	2013-03-23 08:00:00	{'2-3740.0', '4-30773.0'}
2013-03-23 08:00:00	2013-03-23 08:30:00	{'2-3972.0', '4-32599.0'}
2013-03-23 08:30:00	2013-03-23 09:00:00	{'2-6014.0', '4-30072.0'}
2013-03-23 09:00:00	2013-03-23 09:30:00	{'4-31673.0', '2-4623.0'}
2013-03-23 09:30:00	2013-03-23 10:00:00	{'4-29956.5', '3-34736.0', '2-4290.0'}
2013-03-23 10:00:00	2013-03-23 10:30:00	{'2-4617.0'}
2013-03-23 10:30:00	2013-03-23 11:00:00	{'2-4342.0'}
2013-03-23 11:00:00	2013-03-23 11:30:00	{'2-4627.5'}
2013-03-23 11:30:00	2013-03-23 12:00:00	{'2-4323.0'}
2013-03-23 12:00:00	2013-03-23 12:30:00	{'2-4635.0'}
2013-03-23 12:30:00	2013-03-23 13:00:00	{'4-26566.0', '2-4329.5'}
2013-03-23 13:00:00	2013-03-23 13:30:00	{'2-4641.0', '4-32735.0'}
2013-03-23 13:30:00	2013-03-23 14:00:00	{'4-30819.0', '2-4326.0'}
2013-03-23 14:00:00	2013-03-23 14:30:00	{'2-4630.5', '4-32944.0'}
